# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:32:46
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/e
# Object ID: b9bdf4eb-46c0-413f-b31f-e257d18abcdb
# Object type: Region
# Object creation time: 2023-06-21 11:44:04
#
Spot index;x;y
220240;27449.5625;30428.458984375
220241;27469.5625;30428.458984375
220587;27429.5625;30408.458984375
220588;27449.5625;30408.458984375
220589;27469.5625;30408.458984375
220590;27489.5625;30408.458984375
220591;27509.5625;30408.458984375
220935;27429.5625;30388.458984375
220936;27449.5625;30388.458984375
220937;27469.5625;30388.458984375
220938;27489.5625;30388.458984375
220939;27509.5625;30388.458984375
221283;27429.5625;30368.458984375
221284;27449.5625;30368.458984375
221285;27469.5625;30368.458984375
221286;27489.5625;30368.458984375
221287;27509.5625;30368.458984375
221288;27529.5625;30368.458984375
221632;27449.5625;30348.458984375
221633;27469.5625;30348.458984375
221634;27489.5625;30348.458984375
221635;27509.5625;30348.458984375
