# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:54:56
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/g
# Object ID: a5e727bc-be95-4e24-a76e-dcbcc174916b
# Object type: Region
# Object creation time: 2023-06-21 11:44:01
#
Spot index;x;y
136474;28329.5625;35908.4609375
136475;28349.5625;35908.4609375
136707;28329.5625;35888.4609375
136708;28349.5625;35888.4609375
136709;28369.5625;35888.4609375
136940;28329.5625;35868.4609375
136941;28349.5625;35868.4609375
136942;28369.5625;35868.4609375
136943;28389.5625;35868.4609375
137174;28349.5625;35848.4609375
137175;28369.5625;35848.4609375
137176;28389.5625;35848.4609375
