# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:51:15
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/i
# Object ID: 313d8db0-fe27-4d87-84b6-705df8173947
# Object type: Region
# Object creation time: 2023-06-21 11:43:56
#
Spot index;x;y
244217;28089.5625;28948.458984375
244218;28109.5625;28948.458984375
244509;28089.5625;28928.458984375
244510;28109.5625;28928.458984375
244511;28129.5625;28928.458984375
244512;28149.5625;28928.458984375
244799;28089.5625;28908.458984375
244800;28109.5625;28908.458984375
244801;28129.5625;28908.458984375
244802;28149.5625;28908.458984375
244803;28169.5625;28908.458984375
245089;28109.5625;28888.458984375
245090;28129.5625;28888.458984375
245091;28149.5625;28888.458984375
245092;28169.5625;28888.458984375
245093;28189.5625;28888.458984375
245378;28149.5625;28868.458984375
245379;28169.5625;28868.458984375
245380;28189.5625;28868.458984375
