# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:31:51
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/k
# Object ID: f044bf3d-d372-4bd2-b447-189a1cbe5f58
# Object type: Region
# Object creation time: 2023-06-21 11:44:03
#
Spot index;x;y
165780;29649.5625;33728.4609375
165781;29669.5625;33728.4609375
166097;29629.5625;33708.4609375
166098;29649.5625;33708.4609375
166099;29669.5625;33708.4609375
166100;29689.5625;33708.4609375
166414;29609.5625;33688.4609375
166415;29629.5625;33688.4609375
166416;29649.5625;33688.4609375
166417;29669.5625;33688.4609375
166418;29689.5625;33688.4609375
166732;29609.5625;33668.4609375
166733;29629.5625;33668.4609375
166734;29649.5625;33668.4609375
166735;29669.5625;33668.4609375
166736;29689.5625;33668.4609375
167052;29629.5625;33648.4609375
167053;29649.5625;33648.4609375
167054;29669.5625;33648.4609375
