# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:33:42
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/l
# Object ID: 9f9948b1-4181-4b88-9f47-947926c6b588
# Object type: Region
# Object creation time: 2023-06-21 11:44:04
#
Spot index;x;y
181121;29469.5625;32788.4609375
181457;29429.5625;32768.4609375
181458;29449.5625;32768.4609375
181459;29469.5625;32768.4609375
181460;29489.5625;32768.4609375
181796;29429.5625;32748.458984375
181797;29449.5625;32748.458984375
181798;29469.5625;32748.458984375
181799;29489.5625;32748.458984375
182134;29409.5625;32728.458984375
182135;29429.5625;32728.458984375
182136;29449.5625;32728.458984375
182137;29469.5625;32728.458984375
182138;29489.5625;32728.458984375
182471;29409.5625;32708.458984375
182472;29429.5625;32708.458984375
182473;29449.5625;32708.458984375
182474;29469.5625;32708.458984375
182475;29489.5625;32708.458984375
182806;29429.5625;32688.458984375
182807;29449.5625;32688.458984375
182808;29469.5625;32688.458984375
