# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:36:52
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/n
# Object ID: 90c8a563-f8d2-46e1-b5d9-9a5cf39991eb
# Object type: Region
# Object creation time: 2023-06-21 11:44:09
#
Spot index;x;y
249541;24349.5625;28548.458984375
249542;24369.5625;28548.458984375
249797;24329.5625;28528.458984375
249798;24349.5625;28528.458984375
249799;24369.5625;28528.458984375
249800;24389.5625;28528.458984375
250052;24329.5625;28508.458984375
250053;24349.5625;28508.458984375
250054;24369.5625;28508.458984375
250055;24389.5625;28508.458984375
250305;24329.5625;28488.458984375
250306;24349.5625;28488.458984375
250307;24369.5625;28488.458984375
250308;24389.5625;28488.458984375
250557;24349.5625;28468.458984375
250558;24369.5625;28468.458984375
