# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:51:41
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/o
# Object ID: 0c22df39-d80f-4b3f-a750-9adea44145c7
# Object type: Region
# Object creation time: 2023-06-21 11:43:57
#
Spot index;x;y
253068;26209.5625;28268.458984375
253069;26229.5625;28268.458984375
253299;26189.5625;28248.458984375
253300;26209.5625;28248.458984375
253301;26229.5625;28248.458984375
253302;26249.5625;28248.458984375
253528;26189.5625;28228.458984375
253529;26209.5625;28228.458984375
253530;26229.5625;28228.458984375
253531;26249.5625;28228.458984375
253757;26209.5625;28208.458984375
253758;26229.5625;28208.458984375
253759;26249.5625;28208.458984375
