# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:53:20
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/p
# Object ID: 831c78e0-defb-46fa-a3ca-541737454ef3
# Object type: Region
# Object creation time: 2023-06-21 11:43:58
#
Spot index;x;y
132673;28169.5625;36268.4609375
132674;28189.5625;36268.4609375
132866;28149.5625;36248.4609375
132867;28169.5625;36248.4609375
132868;28189.5625;36248.4609375
132869;28209.5625;36248.4609375
133060;28129.5625;36228.4609375
133061;28149.5625;36228.4609375
133062;28169.5625;36228.4609375
133063;28189.5625;36228.4609375
133064;28209.5625;36228.4609375
133065;28229.5625;36228.4609375
133256;28129.5625;36208.4609375
133257;28149.5625;36208.4609375
133258;28169.5625;36208.4609375
133259;28189.5625;36208.4609375
133260;28209.5625;36208.4609375
133261;28229.5625;36208.4609375
133454;28129.5625;36188.4609375
133455;28149.5625;36188.4609375
133456;28169.5625;36188.4609375
133457;28189.5625;36188.4609375
133458;28209.5625;36188.4609375
133653;28149.5625;36168.4609375
133654;28169.5625;36168.4609375
133655;28189.5625;36168.4609375
133656;28209.5625;36168.4609375
