# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:52:52
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/q
# Object ID: d7b27b1a-93eb-4436-bc7e-61a6afa28073
# Object type: Region
# Object creation time: 2023-06-21 11:43:57
#
Spot index;x;y
188113;27649.5625;32348.458984375
188114;27669.5625;32348.458984375
188115;27689.5625;32348.458984375
188451;27629.5625;32328.458984375
188452;27649.5625;32328.458984375
188453;27669.5625;32328.458984375
188454;27689.5625;32328.458984375
188799;27629.5625;32308.458984375
188800;27649.5625;32308.458984375
188801;27669.5625;32308.458984375
188802;27689.5625;32308.458984375
189147;27649.5625;32288.458984375
189148;27669.5625;32288.458984375
