# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:35:32
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/r
# Object ID: 186a3c4e-ae50-4220-99a2-effe1350d750
# Object type: Region
# Object creation time: 2023-06-21 11:44:07
#
Spot index;x;y
187171;27829.5625;32408.458984375
187476;27789.5625;32388.458984375
187477;27809.5625;32388.458984375
187478;27829.5625;32388.458984375
187479;27849.5625;32388.458984375
187480;27869.5625;32388.458984375
187793;27789.5625;32368.458984375
187794;27809.5625;32368.458984375
187795;27829.5625;32368.458984375
187796;27849.5625;32368.458984375
187797;27869.5625;32368.458984375
187798;27889.5625;32368.458984375
188120;27789.5625;32348.458984375
188121;27809.5625;32348.458984375
188122;27829.5625;32348.458984375
188123;27849.5625;32348.458984375
188124;27869.5625;32348.458984375
188125;27889.5625;32348.458984375
188459;27789.5625;32328.458984375
188460;27809.5625;32328.458984375
188461;27829.5625;32328.458984375
188462;27849.5625;32328.458984375
188463;27869.5625;32328.458984375
188464;27889.5625;32328.458984375
188808;27809.5625;32308.458984375
188809;27829.5625;32308.458984375
188810;27849.5625;32308.458984375
188811;27869.5625;32308.458984375
