# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:37:59
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/t
# Object ID: 005e53f2-9250-4de3-beee-ac595325099a
# Object type: Region
# Object creation time: 2023-06-21 11:44:10
#
Spot index;x;y
189490;27569.5625;32268.458984375
189491;27589.5625;32268.458984375
189492;27609.5625;32268.458984375
189838;27569.5625;32248.458984375
189839;27589.5625;32248.458984375
189840;27609.5625;32248.458984375
190186;27569.5625;32228.458984375
190187;27589.5625;32228.458984375
190188;27609.5625;32228.458984375
190534;27569.5625;32208.458984375
190535;27589.5625;32208.458984375
190536;27609.5625;32208.458984375
