# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:50:49
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/u
# Object ID: cd1b4010-9767-4307-aa41-d511bd971366
# Object type: Region
# Object creation time: 2023-06-21 11:43:55
#
Spot index;x;y
257717;26429.5625;27788.458984375
257856;26389.5625;27768.458984375
257857;26409.5625;27768.458984375
257858;26429.5625;27768.458984375
257859;26449.5625;27768.458984375
257991;26389.5625;27748.458984375
257992;26409.5625;27748.458984375
257993;26429.5625;27748.458984375
257994;26449.5625;27748.458984375
258121;26389.5625;27728.458984375
258122;26409.5625;27728.458984375
258123;26429.5625;27728.458984375
258124;26449.5625;27728.458984375
258249;26409.5625;27708.458984375
258250;26429.5625;27708.458984375
