# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:36:04
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/v
# Object ID: 896e5462-5147-4a8c-ac19-2845671af01c
# Object type: Region
# Object creation time: 2023-06-21 11:44:07
#
Spot index;x;y
251797;24509.5625;28368.458984375
251798;24529.5625;28368.458984375
251799;24549.5625;28368.458984375
252038;24509.5625;28348.458984375
252039;24529.5625;28348.458984375
252040;24549.5625;28348.458984375
252041;24569.5625;28348.458984375
252278;24529.5625;28328.458984375
252279;24549.5625;28328.458984375
252280;24569.5625;28328.458984375
