# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:55:28
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/w
# Object ID: fc05709f-d826-4e8d-8613-e5250b5921ef
# Object type: Region
# Object creation time: 2023-06-21 11:44:01
#
Spot index;x;y
210079;27269.5625;31028.458984375
210080;27289.5625;31028.458984375
210081;27309.5625;31028.458984375
210082;27329.5625;31028.458984375
210399;27269.5625;31008.458984375
210400;27289.5625;31008.458984375
210401;27309.5625;31008.458984375
210402;27329.5625;31008.458984375
210403;27349.5625;31008.458984375
210721;27269.5625;30988.458984375
210722;27289.5625;30988.458984375
210723;27309.5625;30988.458984375
210724;27329.5625;30988.458984375
210725;27349.5625;30988.458984375
211045;27269.5625;30968.458984375
211046;27289.5625;30968.458984375
211047;27309.5625;30968.458984375
211048;27329.5625;30968.458984375
211049;27349.5625;30968.458984375
211373;27289.5625;30948.458984375
211374;27309.5625;30948.458984375
211375;27329.5625;30948.458984375
