# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:34:33
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/x
# Object ID: a08e0d1e-1287-41fb-8c9a-f13fd7da0613
# Object type: Region
# Object creation time: 2023-06-21 11:44:06
#
Spot index;x;y
162981;29369.5625;33908.4609375
162982;29389.5625;33908.4609375
162983;29409.5625;33908.4609375
163279;29349.5625;33888.4609375
163280;29369.5625;33888.4609375
163281;29389.5625;33888.4609375
163282;29409.5625;33888.4609375
163582;29369.5625;33868.4609375
163583;29389.5625;33868.4609375
163584;29409.5625;33868.4609375
