# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:50:25
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/y
# Object ID: ea3d730c-2c21-4e73-8f55-5e11195eee91
# Object type: Region
# Object creation time: 2023-06-21 11:43:55
#
Spot index;x;y
178423;29369.5625;32948.4609375
178424;29389.5625;32948.4609375
178757;29349.5625;32928.4609375
178758;29369.5625;32928.4609375
178759;29389.5625;32928.4609375
178760;29409.5625;32928.4609375
179093;29349.5625;32908.4609375
179094;29369.5625;32908.4609375
179095;29389.5625;32908.4609375
179096;29409.5625;32908.4609375
179430;29369.5625;32888.4609375
179431;29389.5625;32888.4609375
