# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:34:08
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/z
# Object ID: e706ff09-cfc5-40dc-b8b2-3c1b46651794
# Object type: Region
# Object creation time: 2023-06-21 11:44:05
#
Spot index;x;y
252390;26769.5625;28328.458984375
252391;26789.5625;28328.458984375
252392;26809.5625;28328.458984375
252393;26829.5625;28328.458984375
252627;26769.5625;28308.458984375
252628;26789.5625;28308.458984375
252629;26809.5625;28308.458984375
252630;26829.5625;28308.458984375
252631;26849.5625;28308.458984375
252632;26869.5625;28308.458984375
252863;26769.5625;28288.458984375
252864;26789.5625;28288.458984375
252865;26809.5625;28288.458984375
252866;26829.5625;28288.458984375
252867;26849.5625;28288.458984375
252868;26869.5625;28288.458984375
252869;26889.5625;28288.458984375
253097;26789.5625;28268.458984375
253098;26809.5625;28268.458984375
253099;26829.5625;28268.458984375
253100;26849.5625;28268.458984375
253101;26869.5625;28268.458984375
253102;26889.5625;28268.458984375
253103;26909.5625;28268.458984375
253330;26809.5625;28248.458984375
253331;26829.5625;28248.458984375
253332;26849.5625;28248.458984375
253333;26869.5625;28248.458984375
253334;26889.5625;28248.458984375
253335;26909.5625;28248.458984375
253561;26849.5625;28228.458984375
253562;26869.5625;28228.458984375
253563;26889.5625;28228.458984375
253564;26909.5625;28228.458984375
